epoch,d_loss,g_loss,e_loss,recon_loss,kl_loss
118,1.4941,1.0198,0.4236,0.0072,6.3076
119,1.4677,1.0404,0.4116,0.0070,6.4053
120,1.4333,1.0914,0.4105,0.0069,6.4233
121,1.4497,0.9802,0.4131,0.0070,6.4934
122,1.4781,0.9935,0.4016,0.0067,6.4787
123,1.4770,1.0163,0.3942,0.0066,6.4178
124,1.4486,0.9825,0.3879,0.0065,6.4682
125,1.4617,1.0137,0.3820,0.0064,6.4438
126,1.4073,0.9637,0.3830,0.0064,6.5221
127,1.4776,0.9635,0.3833,0.0064,6.5384
128,1.4220,1.0151,0.3774,0.0062,6.5788
129,1.4971,1.0121,0.3754,0.0062,6.5335
130,1.4126,0.9994,0.3765,0.0062,6.6248
131,1.4018,0.9978,0.3710,0.0061,6.5783
132,1.4296,0.9365,0.3611,0.0059,6.6363
133,1.4236,0.9994,0.3600,0.0059,6.6483
134,1.4785,0.9636,0.3596,0.0059,6.5578
135,1.4564,0.9630,0.3644,0.0060,6.5387
136,1.4953,0.9968,0.3588,0.0059,6.5282
137,1.4320,0.9560,0.3527,0.0057,6.5363
138,1.4674,0.9795,0.3492,0.0057,6.6343
139,1.3883,0.9949,0.3459,0.0056,6.5693
140,1.4069,0.9841,0.3658,0.0060,6.5132
141,1.4465,0.9937,0.3385,0.0055,6.5271
142,1.5162,0.9098,0.3334,0.0053,6.6358
143,1.4274,0.9383,0.3244,0.0052,6.6114
144,1.4506,0.9139,0.3165,0.0050,6.6099
145,1.3619,1.0123,0.3206,0.0051,6.6641
146,1.4567,0.9230,0.3150,0.0050,6.5993
147,1.3105,1.0314,0.3315,0.0053,6.7375
148,1.4125,0.8848,0.3339,0.0053,6.7226
149,1.3385,1.0216,0.3389,0.0054,6.7999
150,1.4438,0.9902,0.3224,0.0051,6.7224
151,1.4358,0.9074,0.3135,0.0049,6.6712
152,1.3936,0.9400,0.3138,0.0049,6.6488
153,1.4024,0.9521,0.3087,0.0048,6.6632
154,1.4523,0.9358,0.3006,0.0047,6.6254
155,1.4754,0.9274,0.2955,0.0046,6.5712
156,1.5127,0.8730,0.2858,0.0044,6.5012
157,1.4346,0.8978,0.2876,0.0044,6.5473
158,1.4649,0.8857,0.2865,0.0044,6.4427
159,1.4411,0.8909,0.2887,0.0045,6.4621
160,1.4354,0.8745,0.2807,0.0043,6.3497
161,1.3610,0.9732,0.2869,0.0044,6.4665
162,1.4500,0.9740,0.2924,0.0045,6.6608
163,1.3686,0.9642,0.3218,0.0051,6.6142
164,1.4128,0.9845,0.3154,0.0049,7.0027
165,1.4322,2.2055,1.9048,0.0306,37.4282
166,1.3970,1.7799,1.1905,0.0224,7.1874
167,1.4006,1.2061,0.5069,0.0087,7.4217
168,1.4420,1.0097,0.3644,0.0059,7.0008
169,1.3909,0.9352,0.3277,0.0052,6.6461
170,1.4435,0.9089,0.2892,0.0045,6.4187
171,1.5259,0.8868,0.3173,0.0050,6.5607
172,1.3287,0.9873,0.3014,0.0047,6.4760
173,1.4374,0.9407,0.2747,0.0042,6.3889
174,1.4217,0.8694,0.2619,0.0040,6.1652
175,1.4395,0.8831,0.2485,0.0038,6.0665
176,1.4225,0.8694,0.2606,0.0040,6.0092
177,1.3790,0.9746,0.2565,0.0039,6.1430
178,1.3934,0.8709,0.2571,0.0039,6.0181
179,1.4879,0.8848,0.2510,0.0038,6.1629
180,1.4319,0.8415,0.2337,0.0035,5.8425
181,1.5033,0.8337,0.2354,0.0035,5.8485
182,1.3350,0.9190,0.2236,0.0033,5.7344
183,1.4293,0.8630,0.2226,0.0033,5.7381
184,1.4284,0.8486,0.2205,0.0033,5.6686
185,1.4274,0.8710,0.2384,0.0036,5.9025
186,1.3794,0.8857,0.2502,0.0038,6.1670
187,1.5138,0.8743,0.2446,0.0037,6.0773
188,1.3193,0.9463,0.2447,0.0037,6.0738
189,1.4923,0.8702,0.2325,0.0035,5.9127
190,1.4267,0.8366,0.2225,0.0033,5.8082
191,1.4146,0.8740,0.2182,0.0032,5.7198
192,1.4398,0.8841,0.2213,0.0033,5.7331
193,1.3741,0.8250,0.2172,0.0032,5.7432
194,1.4702,0.8516,0.2242,0.0033,5.9787
195,1.4828,0.8102,0.2223,0.0033,5.9464
196,1.3991,0.8634,0.2206,0.0032,5.8625
197,1.3885,0.8483,0.2262,0.0033,5.9785
198,1.4523,0.8781,0.2250,0.0033,5.9146
199,1.3275,0.9179,0.2159,0.0032,5.8059
200,1.4454,0.8665,0.2132,0.0031,5.8639
201,1.4039,0.8372,0.2094,0.0030,5.8755
202,1.4083,0.8078,0.2036,0.0029,5.7764
203,1.3987,0.8466,0.2092,0.0030,5.7866
204,1.3604,0.9201,0.2263,0.0032,6.4361
205,1.4029,0.8599,0.2278,0.0033,6.1368
206,1.3473,0.9456,0.2476,0.0037,6.1712
207,1.3625,2.1591,1.5680,0.0275,19.4303
208,1.4362,1.3877,0.7326,0.0132,7.3445
209,1.4011,0.9673,0.3408,0.0053,7.3778
210,1.4012,0.8728,0.2627,0.0039,6.8628
211,1.3959,0.8620,0.2455,0.0035,6.8137
212,1.4057,0.9294,0.2282,0.0033,6.4724
213,1.3639,0.8905,0.2234,0.0032,6.3090
214,1.3116,0.9073,0.2155,0.0031,6.0896
215,1.3766,0.9025,0.2111,0.0031,5.8562
216,1.4384,0.8866,0.2101,0.0031,5.7208
217,1.4411,0.8571,0.2099,0.0031,5.6249
218,1.4454,0.8990,0.2154,0.0032,5.6258
219,1.3458,0.9109,0.2115,0.0031,5.5864
220,1.3808,0.8977,0.2018,0.0029,5.5707
221,1.4952,0.8383,0.1948,0.0028,5.4360
222,1.4309,0.8088,0.1880,0.0027,5.4072
223,1.3777,0.8491,0.1806,0.0025,5.3296
224,1.4228,0.8129,0.1843,0.0026,5.3680
225,1.4171,0.8571,0.1877,0.0027,5.4371
226,1.3711,0.8301,0.1863,0.0026,5.4027
227,1.4789,0.8032,0.1995,0.0029,5.5404
228,1.3436,0.9288,0.2008,0.0029,5.6422
229,1.3550,0.8755,0.2003,0.0029,5.6638
230,1.4059,0.9117,0.2079,0.0030,5.7268
231,1.3568,0.8631,0.1991,0.0028,5.7252
232,1.4201,0.8359,0.1920,0.0027,5.6421
233,1.4077,0.8625,0.1902,0.0027,5.6559
234,1.3662,0.8606,0.1957,0.0028,5.5844
235,1.4015,0.8853,0.1882,0.0026,5.5744
236,1.3587,0.8495,0.1825,0.0026,5.4787
237,1.3957,0.8647,0.1824,0.0025,5.4893
238,1.4765,0.8211,0.1949,0.0028,5.6722
239,1.3110,0.9535,0.1993,0.0028,5.7786
240,1.2199,0.9822,0.2053,0.0030,5.6192
